row	T	q	m_target	k	t_exact	t_float	alpha_float	X_order	tr_X	vf_orbit_finite	vf_group_order	vf_structure	gamma_finite	gamma_order	relations	ip	defect	fvec_coset	fvec_geom	directly_regular	faithful	skeletal	geom_chiral	verdict
5	{3,5,5/2}	5	5	2	1/4*E(5)+1/2*E(5)^2+1/2*E(5)^3+1/4*E(5)^4	-0.65450849718747373	0.55278640450004246	5	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	true	60	A5	true	7200	true	false	2	[ 120, 720, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
5	{3,5,5/2}	5	5	2	1/2*E(5)^2+1/2*E(5)^3	-0.80901699437494745	0.5	5	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	true	60	A5	true	7200	true	false	2	[ 120, 720, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
5	{3,5,5/2}	5	5	2	-1/2*E(5)^2-1/2*E(5)^3	0.80901699437494745	infinity	5	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	true	60	A5	true	7200	true	false	2	[ 120, 720, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
5	{3,5,5/2}	5	inf	-	infinity	infinity	0.	5	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	true	60	A5	true	7200	true	false	2	[ 120, 720, 180, 6 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 2)
6	{5,5/2,5}	5	2	1	1/2*E(5)^2+1/2*E(5)^3	-0.80901699437494745	0.5	2	0	true	fail	-	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
6	{5,5/2,5}	5	2	1	-1/2*E(5)^2-1/2*E(5)^3	0.80901699437494745	infinity	2	0	true	10	D10	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
6	{5,5/2,5}	5	5	1	0	0.	1.	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	12	[ 120, 720, 240, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 12)
6	{5,5/2,5}	5	5	1	-1/2	-0.5	0.61803398874989468	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	12	[ 120, 720, 240, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 12)
6	{5,5/2,5}	5	5	1	1/2*E(5)+E(5)^2+E(5)^3+1/2*E(5)^4	-1.3090169943749475	0.38196601125010543	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	12	[ 120, 720, 240, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 12)
6	{5,5/2,5}	5	inf	-	infinity	infinity	0.	5	-E(5)-2*E(5)^2-2*E(5)^3-E(5)^4	true	60	A5	true	7200	true	false	12	[ 120, 720, 240, 1 ]	-	false	-	-	-	REJECTED: intersection condition fails (defect 12)
7	{5,3,5/2}	3	2	1	E(120)^7+2*E(120)^8+E(120)^13+1/2*E(120)^16-E(120)^23-1/2*E(120)^29+1/2*E(120)^31+2*E(120)^32+E(120)^37-E(120)^47-E(120)^53+1/2*E(120)^56+1/2*E(120)^61+1/2*E(120)^64-1/2*E(120)^71-E(120)^77+1/2*E(120)^79+2*E(120)^88-1/2*E(120)^101+E(120)^103+1/2*E(120)^104+1/2*E(120)^109+2*E(120)^112-1/2*E(120)^119	6.1334746839751411	0.075375278239604632	2	0	true	6	S3	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
7	{5,3,5/2}	3	2	1	-E(120)^7+2*E(120)^8-E(120)^13+1/2*E(120)^16+E(120)^23+1/2*E(120)^29-1/2*E(120)^31+2*E(120)^32-E(120)^37+E(120)^47+E(120)^53+1/2*E(120)^56-1/2*E(120)^61+1/2*E(120)^64+1/2*E(120)^71+E(120)^77-1/2*E(120)^79+2*E(120)^88+1/2*E(120)^101-E(120)^103+1/2*E(120)^104-1/2*E(120)^109+2*E(120)^112+1/2*E(120)^119	-0.27937271772545785	2.2662655082602683	2	0	true	6	S3	-	-	-	-	-	-	-	-	-	-	-	REJECTED: ord(X) < 3 (degenerate)
7	{5,3,5/2}	3	3	1	E(40)^7+3/2*E(40)^8-E(40)^13+3*E(40)^16-2*E(40)^21+E(40)^23+3*E(40)^24-2*E(40)^29+2*E(40)^31+3/2*E(40)^32-E(40)^37+2*E(40)^39	-0.22459180948101065	1.8154870378320278	3	1	true	12	A4	true	2880	true	true	1	[ 240, 480, 120, 20 ]	[ 240, 480, 120, 20 ]	true	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), directly regular abstractly
7	{5,3,5/2}	3	3	1	-E(40)^7+3/2*E(40)^8+E(40)^13+3*E(40)^16+2*E(40)^21-E(40)^23+3*E(40)^24+2*E(40)^29-2*E(40)^31+3/2*E(40)^32+E(40)^37-2*E(40)^39	-7.6295101567686752	-0.07013104533209813	3	1	true	12	A4	true	2880	true	true	1	[ 240, 480, 120, 20 ]	[ 240, 480, 120, 20 ]	true	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), directly regular abstractly
7	{5,3,5/2}	3	3	1	-1/2*E(40)^16+1/2*E(40)^21-1/2*E(40)^24+1/2*E(40)^29-1/2*E(40)^31-1/2*E(40)^39	-0.33510581126042116	3.0322475511229903	3	1	true	12	A4	true	2880	true	true	1	[ 240, 480, 120, 20 ]	[ 240, 480, 120, 20 ]	true	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), directly regular abstractly
7	{5,3,5/2}	3	3	1	-1/2*E(40)^16-1/2*E(40)^21-1/2*E(40)^24-1/2*E(40)^29+1/2*E(40)^31+1/2*E(40)^39	1.953139800010316	0.20382042637679987	3	1	true	12	A4	true	2880	true	true	1	[ 240, 480, 120, 20 ]	[ 240, 480, 120, 20 ]	true	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), directly regular abstractly
7	{5,3,5/2}	3	4	1	1/2*E(40)^8+E(40)^16+1/2*E(40)^21+E(40)^24+1/2*E(40)^29-1/2*E(40)^31+1/2*E(40)^32-1/2*E(40)^39	-2.4531398000103155	-0.25599806014774751	4	2	true	24	S4	true	1152	true	true	1	[ 48, 144, 48, 8 ]	[ 48, 144, 48, 8 ]	false	true	true	true	SURVIVOR: faithful skeletal 4-polytope, geometrically chiral (2-face spans E^4), combinatorially chiral
