case_a	case_b	fvector	lambda	even_passes	odd_passes	even_det_sign	odd_det_sign	triple_orientation_of_passing_candidate	exhaustive_tuples	exhaustive_similarities	exhaustive_det_signs	verdict	even_image_orbit	odd_image_orbit	similarity_cosets	order_Gamma_b
L3-{5,3,5/2}-10	L3-{5,3,5/2}-11	(120,720,300,50)	2/3	true	true	+1	+1	even:mirror;odd:mirror	14400	7200	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	7200
L3-{5,3,5/2}-10	L3-{5,3,5/2}-12	(120,720,300,50)	2/5	false	false	+1	+1	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-10	L3-{5,3,5/2}-13	(120,720,300,50)	1/4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-10	L3-{5,3,5/2}-14	(120,720,300,50)	-4/3*E(5)-2/3*E(5)^2-2/3*E(5)^3-4/3*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-10	L3-{5,3,5/2}-15	(120,720,300,50)	-4*E(5)-10*E(5)^2-10*E(5)^3-4*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-10	L3-{5,3,5/2}-16	(120,720,300,50)	4/3	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-11	L3-{5,3,5/2}-9	(120,720,300,50)	1/2	false	false	+1	+1	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-11	L3-{5,3,5/2}-10	(120,720,300,50)	3/2	true	true	+1	+1	even:mirror;odd:mirror	14400	7200	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	7200
L3-{5,3,5/2}-11	L3-{5,3,5/2}-11	(120,720,300,50)	1	true	true	+1	+1	even:same;odd:same	14400	7200	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	7200
L3-{5,3,5/2}-11	L3-{5,3,5/2}-12	(120,720,300,50)	3/5	false	false	+1	+1	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-11	L3-{5,3,5/2}-13	(120,720,300,50)	3/8	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-11	L3-{5,3,5/2}-14	(120,720,300,50)	-2*E(5)-E(5)^2-E(5)^3-2*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-11	L3-{5,3,5/2}-15	(120,720,300,50)	-6*E(5)-15*E(5)^2-15*E(5)^3-6*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-11	L3-{5,3,5/2}-16	(120,720,300,50)	2	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-12	L3-{5,3,5/2}-9	(120,720,300,50)	5/6	true	true	+1	+1	even:mirror;odd:mirror	14400	7200	{+1}	R5-similar=yes;R3-congruent=no(lambda<>1);proper	odd	odd	1	7200
L3-{5,3,5/2}-12	L3-{5,3,5/2}-10	(120,720,300,50)	5/2	false	false	+1	+1	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-12	L3-{5,3,5/2}-11	(120,720,300,50)	5/3	false	false	+1	+1	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-12	L3-{5,3,5/2}-12	(120,720,300,50)	1	true	true	+1	+1	even:same;odd:same	14400	7200	{+1}	R5-similar=yes;R3-congruent=yes;proper	even	even	1	7200
L3-{5,3,5/2}-12	L3-{5,3,5/2}-13	(120,720,300,50)	5/8	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-12	L3-{5,3,5/2}-14	(120,720,300,50)	-10/3*E(5)-5/3*E(5)^2-5/3*E(5)^3-10/3*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-12	L3-{5,3,5/2}-15	(120,720,300,50)	-10*E(5)-25*E(5)^2-25*E(5)^3-10*E(5)^4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-12	L3-{5,3,5/2}-16	(120,720,300,50)	10/3	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-13	L3-{5,3,5/2}-9	(120,720,300,50)	4/3	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-13	L3-{5,3,5/2}-10	(120,720,300,50)	4	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-13	L3-{5,3,5/2}-11	(120,720,300,50)	8/3	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
L3-{5,3,5/2}-13	L3-{5,3,5/2}-12	(120,720,300,50)	8/5	false	false	na	na	none	14400	0	{}	R5-similar=no;R3-congruent=no	none	none	0	7200
